composer,title,editor,filename
"Bach, Johann Sebastian","Invention No. 1 in C major,  BWV 772",Richard Freedman,Bach_BWV_0772.mei
"Bach, Johann Sebastian","Invention No. 2 in C minor, BWV 773",Richard Freedman,Bach_BWV_0773.mei
"Bach, Johann Sebastian","Invention No. 3 in D major,  BWV 774",Richard Freedman,Bach_BWV_0774.mei
"Bach, Johann Sebastian","Invention No. 4 in D minor, BWV 775",Richard Freedman,Bach_BWV_0775.mei
"Bach, Johann Sebastian","Invention No. 5 in E-flat major, BWV 776",Richard Freedman,Bach_BWV_0776.mei
"Bach, Johann Sebastian","Invention No. 6 in E major, BWV 777",Richard Freedman,Bach_BWV_0777.mei
"Bach, Johann Sebastian","Invention No. 7 in E minor, BWV 778",Richard Freedman,Bach_BWV_0778.mei
"Bach, Johann Sebastian","Invention No. 8 in F major, BWV 779",Richard Freedman,Bach_BWV_0779.mei
"Bach, Johann Sebastian","Invention No. 9 in F minor, BWV 780",Richard Freedman,Bach_BWV_0780.mei
"Bach, Johann Sebastian","Invention No. 10 in G major, BWV 781",Richard Freedman,Bach_BWV_0781.mei
"Bach, Johann Sebastian","Invention No. 11 in G minor, BWV 782",Richard Freedman,Bach_BWV_0782.mei
"Bach, Johann Sebastian","Invention No. 12 in A major, BWV 783",Richard Freedman,Bach_BWV_0783.mei
"Bach, Johann Sebastian","Invention No. 13 in A minor, BWV 784",Richard Freedman,Bach_BWV_0784.mei
"Bach, Johann Sebastian","Invention No. 14 in B-flat major, BWV 785",Richard Freedman,Bach_BWV_0785.mei
"Bach, Johann Sebastian","Invention No. 15 in B minor, BWV 786",Richard Freedman,Bach_BWV_0786.mei
"Bártok, Béla","Diminished Fifths, Mikrokosmos, Sz. 107",Richard Freedman,Bartok_Mikrokosmos_101.mei
"Bártok, Béla","Minor and Major, Mikrokosmos, Sz. 107",Richard Freedman,Bartok_Mikrokosmos_103.mei
"Bártok, Béla","Wandering through the Keys, Mikrokosmos, Sz. 107",Richard Freedman,Bartok_Mikrokosmos_104.mei
"Bártok, Béla","Imitation and Counterpoint, Mikrokosmos, Sz. 107",Richard Freedman,Bartok_Mikrokosmos_22.mei
"Bártok, Béla","Imitation and Inversion (1), Mikrokosmos, Sz. 107",Richard Freedman,Bartok_Mikrokosmos_23.mei
"Bártok, Béla","Pastorale, Mikrokosmos, Sz. 107",Richard Freedman,Bartok_Mikrokosmos_24.mei
"Bártok, Béla","Imitation and Inversion (2), Mikrokosmos, Sz. 107",Richard Freedman,Bartok_Mikrokosmos_25.mei
"Bártok, Béla","Repetition (2), Mikrokosmos, Sz. 107",Richard Freedman,Bartok_Mikrokosmos_26.mei
"Bártok, Béla","Canon at the Octave, Mikrokosmos, Sz. 107",Richard Freedman,Bartok_Mikrokosmos_28.mei
"Bártok, Béla","Imitation Reflected, Mikrokosmos, Sz. 107",Richard Freedman,Bartok_Mikrokosmos_29.mei
"Bártok, Béla","Canon at the Lower Fifth, Mikrokosmos, Sz. 107",Richard Freedman,Bartok_Mikrokosmos_30.mei
"Bártok, Béla","Little Dance in Canon Form, Mikrokosmos, Sz. 107",Richard Freedman,Bartok_Mikrokosmos_31.mei
"Bártok, Béla","Chorale, Mikrokosmos, Sz. 107",Richard Freedman,Bartok_Mikrokosmos_35.mei
"Bártok, Béla","Free Canon, Mikrokosmos, Sz. 107",Richard Freedman,Bartok_Mikrokosmos_36.mei
"Bártok, Béla","In Lydian Mode, Mikrokosmos, Sz. 107",Richard Freedman,Bartok_Mikrokosmos_37.mei
"Bártok, Béla","Staccato and Legato (2, Canon), Mikrokosmos, Sz. 107",Richard Freedman,Bartok_Mikrokosmos_39.mei
"Bártok, Béla",,Richard Freedman,Bartok_Mikrokosmos_51.mei
"Bártok, Béla","In Oriental Style, Mikrokosmos, Sz. 107",Richard Freedman,Bartok_Mikrokosmos_58.mei
"Bártok, Béla","Chromatic Invention (1), Mikrokosmos, Sz. 107",Richard Freedman,Bartok_Mikrokosmos_91.mei
"Bártok, Béla","Chromatic Invention (2), Mikrokosmos, Sz. 107",Richard Freedman,Bartok_Mikrokosmos_92.mei
"Morley, Thomas",Go ye my cazonettes,Richard Freedman,Morley_1595_01_Go_ye_my_canzonettes.mei
"Morley, Thomas",When lo by break,Richard Freedman,Morley_1595_02_When_lo_by_break.mei
"Morley, Thomas",Sweet nymph,Richard Freedman,Morley_1595_03_Sweet_nymph.mei
"Morley, Thomas",I go before,Richard Freedman,Morley_1595_04_I_go_before.mei
"Morley, Thomas",Miraculous loves,Richard Freedman,Morley_1595_05_Miraculous_loves.mei
"Morley, Thomas",Lo hear another,Richard Freedman,Morley_1595_06_Lo_hear_another.mei
"Morley, Thomas",Leave now mine eyes,Richard Freedman,Morley_1595_07_Leave_now_mine_eyes.mei
"Morley, Thomas",Fire and lightning,Richard Freedman,Morley_1595_08_Fire_and_ligthning.mei
"Morley, Thomas",In nets of golden,Richard Freedman,Morley_1595_09_In_nets_of_golden.mei
"Morley, Thomas",O thou that art,Richard Freedman,Morley_1595_10_O_thou_that_art.mei
"Morley, Thomas",I should for grief,Richard Freedman,Morley_1595_11_I_should_for_griefe.mei
"Morley, Thomas",Flora wilt thou,Richard Freedman,Morley_1595_12_Flora_wilt_thou.mei
